NAS_ID,DATE_IST,AVG_OPTICAL_DBM,OPTICAL_READINGS,OPTICAL_HEALTH,BOARD_RANGE_STATUS
281474977371424,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
281474977264792,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
281474977290569,2026-06-27,-40.00,6,Poor,outside board -8 to -25 dBm
594641,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
281474977190698,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
357791,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
322318,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
281474977302104,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
281474977365106,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
655939,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
481067,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
634677,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
334373,2026-06-27,-40.00,9,Poor,outside board -8 to -25 dBm
281474977292189,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
658042,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
281474977410282,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
281474977266257,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
281474977260265,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
281474977243298,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
281474977336511,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
281474977363858,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
281474977163013,2026-06-27,-40.00,2,Poor,outside board -8 to -25 dBm
281474977361614,2026-06-27,-40.00,11,Poor,outside board -8 to -25 dBm
281474977328603,2026-06-27,-39.67,3,Poor,outside board -8 to -25 dBm
281474977397129,2026-06-27,-39.18,11,Poor,outside board -8 to -25 dBm
281474977200228,2026-06-27,-37.09,11,Poor,outside board -8 to -25 dBm
281474977341820,2026-06-27,-37.00,4,Poor,outside board -8 to -25 dBm
449557,2026-06-27,-37.00,1,Poor,outside board -8 to -25 dBm
281474977330874,2026-06-27,-37.00,11,Poor,outside board -8 to -25 dBm
281474977284195,2026-06-27,-36.27,11,Poor,outside board -8 to -25 dBm
281474977321530,2026-06-27,-36.09,11,Poor,outside board -8 to -25 dBm
281474977248929,2026-06-27,-35.18,11,Poor,outside board -8 to -25 dBm
281474977080203,2026-06-27,-35.00,11,Poor,outside board -8 to -25 dBm
281474977375561,2026-06-27,-35.00,2,Poor,outside board -8 to -25 dBm
281474977267448,2026-06-27,-35.00,11,Poor,outside board -8 to -25 dBm
281474977075534,2026-06-27,-35.00,11,Poor,outside board -8 to -25 dBm
703961,2026-06-27,-35.00,11,Poor,outside board -8 to -25 dBm
281474977152278,2026-06-27,-35.00,11,Poor,outside board -8 to -25 dBm
683342,2026-06-27,-35.00,11,Poor,outside board -8 to -25 dBm
281474977402606,2026-06-27,-35.00,2,Poor,outside board -8 to -25 dBm
