DATE_IST,OOR_DEVICE_COUNT,TOTAL_DEVICES,OOR_PCT
2026-06-26,17202,72695,23.66
2026-06-25,17263,73079,23.62
2026-06-24,17344,73292,23.66
2026-06-23,17489,73552,23.78
2026-06-22,17276,73825,23.40
2026-06-21,17167,73777,23.27
2026-06-20,17621,74267,23.73
2026-06-19,17634,74515,23.67
2026-06-18,17787,74781,23.79
2026-06-17,17775,75047,23.69
2026-06-16,17660,75266,23.46
2026-06-15,17827,75493,23.61
2026-06-14,17935,75512,23.75
2026-06-13,17968,75987,23.65
2026-06-12,18122,76472,23.70
2026-06-11,18277,76983,23.74
2026-06-10,18860,77202,24.43
2026-06-09,18913,77274,24.48
2026-06-08,18613,77511,24.01
2026-06-07,18437,77519,23.78
2026-06-06,18195,76584,23.76
2026-06-05,18212,78194,23.29
2026-06-04,19284,79177,24.36
2026-06-03,18814,79495,23.67
2026-06-02,18545,79608,23.30
2026-06-01,18618,79842,23.32
2026-05-31,18581,79740,23.30
2026-05-30,18932,80171,23.61
2026-05-29,18728,80556,23.25
2026-05-28,19331,81089,23.84
2026-05-27,19939,82024,24.31
2026-05-26,19904,82463,24.14
2026-05-25,19746,82821,23.84
2026-05-24,19915,82951,24.01
2026-05-23,19742,83561,23.63
2026-05-22,20063,84034,23.87
2026-05-21,20224,84331,23.98
2026-05-20,20451,84641,24.16
2026-05-19,20716,85037,24.36
2026-05-18,20390,85304,23.90
2026-05-17,20245,85245,23.75
2026-05-16,20164,85674,23.54
2026-05-15,20203,86001,23.49
2026-05-14,20094,86118,23.33
2026-05-13,19991,86347,23.15
