DATE_IST,DEVICE_ROWS,NAS_COUNT,AVG_DBM,MIN_DBM,MAX_DBM,OPTICAL_READINGS,BOARD_RANGE_OOR_DEVICES
2026-06-27,83654,83654,-19.93,-40.00,5.00,860224,15932
2026-06-26,85990,85990,-19.95,-40.00,5.00,1929655,16981
2026-06-25,86463,86463,-19.95,-40.00,5.00,1939953,17013
2026-06-24,86679,86679,-19.95,-40.00,5.00,1942696,17075
2026-06-23,86985,86985,-19.95,-40.00,5.00,1952078,17125
2026-06-22,87266,87266,-19.95,-40.00,5.00,1962397,17120
2026-06-21,87248,87248,-19.95,-40.00,5.00,1959621,17068
2026-06-20,87840,87840,-19.96,-40.00,5.00,1969637,17384
2026-06-19,88138,88138,-19.96,-40.00,5.00,1981859,17504
2026-06-18,88541,88541,-19.96,-40.00,5.00,1991452,17579
2026-06-17,88930,88930,-19.95,-40.00,5.00,1998890,17658
2026-06-16,89211,89211,-19.95,-40.00,5.00,2003715,17495
2026-06-15,89456,89456,-19.96,-40.00,5.00,2001314,17643
2026-06-14,89468,89468,-19.96,-40.00,5.00,2009193,17746
2026-06-13,90017,90017,-19.95,-40.00,5.00,2006791,17708
