TOTAL_DEVICES,TOTAL_ONTS,ACTIVE_ONTS,CHURNED_ONTS,PARTNER_OFFICE_ONTS,REPAIR_ONTS,PARTNER_RECOVERED_ONTS,TOTAL_ROUTERS,ACTIVE_ROUTERS,ACTIVE_CUSTOMER_WITH_OPTICAL_POWER
923,850,640,77,133,0,0,73,51,432
765,700,599,80,21,0,0,65,49,636
940,797,526,220,51,0,0,143,70,612
1044,939,516,296,127,0,0,105,71,507
991,901,497,366,37,1,0,90,64,475
768,757,494,29,234,0,0,11,5,532
772,772,476,79,217,0,0,0,0,482
693,693,464,45,184,0,0,0,0,520
814,723,450,207,66,0,0,91,58,379
682,584,433,114,37,0,0,98,70,368
719,677,423,125,129,0,0,42,24,380
627,489,398,31,60,0,0,138,55,245
696,582,374,106,102,0,0,114,75,225
808,713,369,81,263,0,0,95,27,430
617,538,368,85,85,0,0,79,47,383
580,574,363,92,119,0,0,6,1,411
617,523,355,37,131,0,0,94,54,326
568,568,346,48,174,0,0,0,0,389
758,549,342,63,144,0,0,209,144,353
443,388,331,22,35,0,0,55,49,332
525,489,326,59,104,0,0,36,24,299
492,475,324,26,125,0,0,17,6,376
649,579,320,31,228,0,0,70,33,350
787,747,319,89,339,0,0,40,16,420
845,534,315,160,58,1,0,311,194,291
503,488,314,20,154,0,0,15,7,326
560,560,313,35,212,0,0,0,0,289
434,429,313,30,86,0,0,5,2,308
589,549,311,24,214,0,0,40,19,368
522,521,311,61,149,0,0,1,0,396
