TABLE_SCHEMA,TABLE_NAME,ROW_COUNT,LAST_ALTERED
DBT,HOURLY_DEVICE_PING_INFLUX,165526317,2026-06-27 13:41:45.556000+05:30
PUBLIC,ROUTER_DETAILS_AUDIT,35854602,2026-06-27 10:01:12.530000+05:30
DBT,TASKVANILLA_AUDIT,21235871,2026-06-27 12:51:15.855000+05:30
DBT,FCT_OPTICAL_SIGNAL,9039555,2026-06-27 12:54:48.281000+05:30
DBT,AVG_OPTICAL_SIGNAL,7887023,2026-06-11 12:07:47.130000+05:30
DYNAMODB,BOOKING,5422813,2026-06-27 13:40:04.742000+05:30
PUBLIC,ROUTER_DETAILS,323951,2026-06-27 10:12:09.903000+05:30
DYNAMODB,IN_P_INCENTIVE_PROCESSING_SCHEDULE,175281,2026-01-18 13:22:29.905000+05:30
DBT,PARTNER_JANAM_KUNDLI,1763,2026-06-27 13:05:00.077000+05:30
DBT,FCT_OPTICAL_OOR_PCT,89,2026-06-27 13:04:30.036000+05:30
PUBLIC,GX_ROUTER_HOURLY_DATA,8,2026-02-26 17:06:25.228000+05:30
