NAS_ID,RX_POWER_DBM,TX_POWER_DBM,PING_IN_24HRS,IS_CUSTOMER_ACTIVE,IS_PLAN_ACTIVE,ADDED_TIME,MODIFIED_TIME,BOARD_RANGE_STATUS
32412,-30.5,1.7,0,1,1,2024-07-18 05:03:07,2026-06-27 10:01:11.182,outside board -8 to -25 dBm
378510,-29.2,2.3,0,1,1,2024-09-13 04:28:11,2026-06-24 10:01:11.545,outside board -8 to -25 dBm
31727,-27.7,2.0,0,1,1,2024-07-18 05:03:07,2026-06-27 10:01:11.182,outside board -8 to -25 dBm
421847,-27.45,2.2,0,1,1,2024-07-18 06:01:53,2026-06-24 10:01:11.545,outside board -8 to -25 dBm
362623,-24.9,2.3,0,1,1,2024-07-18 05:03:07,2026-06-24 10:01:11.545,inside board range
463329,-24.8,2.1,0,1,1,2024-09-03 04:28:11,2026-06-24 10:01:11.545,inside board range
417485,-23.9,2.5,0,1,1,2024-07-18 05:03:07,2026-06-27 10:01:11.182,inside board range
20991,-21.4,2.1,0,1,1,2024-07-18 05:03:07,2026-06-27 10:01:11.182,inside board range
420574,-21.4,2.1,0,1,1,2024-07-18 05:03:07,2026-06-24 10:01:11.545,inside board range
512036,-19.7,2.4,0,1,1,2025-01-09 04:28:24,2026-06-24 10:01:11.545,inside board range
31740,-19.7,1.7,0,1,1,2024-07-18 05:03:07,2026-06-27 10:01:11.182,inside board range
32146,-18.2,2.1,0,1,1,2024-07-18 05:03:07,2026-06-27 10:01:11.182,inside board range
31739,-17.6,2.0,0,1,1,2024-07-18 05:03:07,2026-06-27 10:01:11.182,inside board range
363860,-40.0,4.5,0,0,0,2024-07-18 05:03:07,2026-06-24 10:01:11.545,outside board -8 to -25 dBm
500564,-40.0,1.9,0,0,0,2024-07-18 05:03:07,2026-05-16 10:00:57.037,outside board -8 to -25 dBm
384343,-40.0,2.1,0,0,0,2024-07-18 05:03:07,2026-06-24 10:01:11.545,outside board -8 to -25 dBm
470944,-40.0,-40.0,0,0,0,2024-07-18 05:03:07,2026-05-16 10:00:57.037,outside board -8 to -25 dBm
410211,-40.0,-40.0,0,0,0,2024-07-18 05:03:07,2026-06-17 10:01:11.797,outside board -8 to -25 dBm
417015,-40.0,-40.0,0,0,0,2024-07-18 05:03:07,2026-05-16 10:00:57.037,outside board -8 to -25 dBm
370637,-40.0,-40.0,0,0,0,2024-07-18 05:03:07,2026-05-16 10:00:57.037,outside board -8 to -25 dBm
394290,-40.0,2.4,0,0,0,2024-07-18 05:03:07,2026-06-24 10:01:11.545,outside board -8 to -25 dBm
383505,-40.0,-40.0,0,0,0,2024-07-18 05:03:07,2026-06-17 10:01:11.797,outside board -8 to -25 dBm
478960,-40.0,-40.0,0,0,0,2024-07-18 05:03:07,2026-05-16 10:00:57.037,outside board -8 to -25 dBm
477337,-40.0,-40.0,0,0,0,2024-07-18 05:03:07,2026-06-24 10:01:11.545,outside board -8 to -25 dBm
369305,-40.0,-40.0,0,0,0,2024-07-18 05:03:07,2026-06-17 10:01:11.797,outside board -8 to -25 dBm
399631,-40.0,-40.0,0,0,0,2024-07-18 05:03:07,2026-05-15 10:01:00.904,outside board -8 to -25 dBm
408285,-40.0,3.6,0,0,0,2024-07-18 05:03:07,2026-05-15 10:01:00.904,outside board -8 to -25 dBm
403850,-36.99,2.23,0,0,0,2024-07-18 05:03:07,2026-05-16 10:00:57.037,outside board -8 to -25 dBm
507317,-36.99,2.46,0,0,0,2025-01-01 04:28:17,2026-05-15 10:01:00.904,outside board -8 to -25 dBm
524078,-36.99,2.36,0,0,0,2025-02-05 04:28:16,2026-06-24 10:01:11.545,outside board -8 to -25 dBm
406096,-36.99,2.3,0,0,0,2024-07-18 05:03:07,2026-05-16 10:00:57.037,outside board -8 to -25 dBm
545193,-36.99,2.27,0,0,0,2025-03-27 04:28:31,2026-06-24 10:01:11.545,outside board -8 to -25 dBm
548068,-36.99,2.36,0,0,0,2025-03-19 04:28:28,2026-06-24 10:01:11.545,outside board -8 to -25 dBm
402190,-35.23,2.33,0,0,0,2024-07-18 05:03:07,2026-05-16 10:00:57.037,outside board -8 to -25 dBm
426411,-35.23,2.3,0,0,0,2024-08-31 04:28:11,2026-06-17 10:01:11.797,outside board -8 to -25 dBm
576805,-35.23,2.33,0,0,0,2024-10-08 04:28:12,2026-05-15 10:01:00.904,outside board -8 to -25 dBm
451790,-35.23,2.34,0,0,0,2024-08-01 04:28:11,2026-06-24 10:01:11.545,outside board -8 to -25 dBm
499191,-35.23,2.35,0,0,0,2024-07-18 06:01:53,2026-06-24 10:01:11.545,outside board -8 to -25 dBm
588428,-35.23,2.26,0,0,0,2025-05-23 04:28:17,2026-05-15 10:01:00.904,outside board -8 to -25 dBm
575374,-35.23,2.37,0,0,0,2025-03-01 04:28:19,2026-05-16 10:00:57.037,outside board -8 to -25 dBm
