AVG_OPTICAL_DBM,OPTICAL_READINGS,OPTICAL_HEALTH,DATE_IST,NAS_ID
-24.00,1,Good,2026-06-10,634584
-24.50,2,Good,2026-06-10,281474977372917
-21.00,1,Good,2026-06-10,506871
-19.00,1,Good,2026-06-10,281474977321127
-26.00,1,Poor,2026-06-10,281474977322203
-18.00,1,Good,2026-06-10,281474977410470
-16.00,1,Good,2026-06-10,624602
-18.00,1,Good,2026-06-10,423232
-18.00,1,Good,2026-06-10,281474977211736
-23.00,1,Good,2026-06-10,281474977194831
-26.00,1,Poor,2026-06-10,281474977365707
-1.00,1,Poor,2026-06-10,281474977345444
-8.00,1,Good,2026-06-10,281474976723916
-21.00,1,Good,2026-06-10,685548
-23.00,1,Good,2026-06-10,281474977166031
-22.00,2,Good,2026-06-10,615833
-20.00,1,Good,2026-06-10,626630
-20.00,1,Good,2026-06-10,516419
-19.00,1,Good,2026-06-10,702400
-15.00,1,Good,2026-06-10,281474977383476
-29.00,1,Poor,2026-06-10,281474977232146
-24.00,1,Good,2026-06-10,281474977321370
-11.00,1,Good,2026-06-10,281474977405227
-20.00,1,Good,2026-06-10,281474977335744
-23.00,1,Good,2026-06-10,281474977392298
