AVG_OPTICAL_DBM,OPTICAL_READINGS,OPTICAL_HEALTH,DATE_IST,NAS_ID
-6.00,1,Poor,2026-06-27,281474977372060
-8.00,2,Good,2026-06-27,697736
-22.00,1,Good,2026-06-27,634618
-25.00,1,Good,2026-06-27,281474977350584
-11.00,1,Good,2026-06-27,281474977253049
-27.00,1,Poor,2026-06-27,670740
-14.00,3,Good,2026-06-27,281474977156868
-25.50,2,Poor,2026-06-27,281474977364662
-8.00,2,Good,2026-06-27,394257
-16.00,1,Good,2026-06-27,281474977276632
-27.00,1,Poor,2026-06-27,281474977218981
-26.00,1,Poor,2026-06-27,440139
-15.00,1,Good,2026-06-27,281474977243199
-21.00,1,Good,2026-06-27,281474977139749
-25.00,1,Good,2026-06-27,281474977197916
-27.00,1,Poor,2026-06-27,281474977173168
-8.00,1,Good,2026-06-27,281474977135125
-21.00,2,Good,2026-06-27,281474977282136
-25.00,1,Good,2026-06-27,281474977244991
-8.00,1,Good,2026-06-27,347162
-22.00,1,Good,2026-06-27,281474977230382
-8.00,1,Good,2026-06-27,700607
-8.00,1,Good,2026-06-27,281474977132675
-16.00,2,Good,2026-06-27,281474977361283
-30.00,1,Poor,2026-06-27,281474977401594
