ACTIVE_CUSTOMER_WITH_OPTICAL_POWER,CLAIM_DEVICE_BONUS_M0,DEVICE_BONUS_M0,DEVICE_BONUS_M1,DEVICE_TICKET_M1,DEVICE_TICKET_SLA_M1,DEVICE_TICKET_M2,DEVICE_TICKET_SLA_M2,DEVICE_TICKET_M3,DEVICE_TICKET_SLA_M3,TOTAL_DEVICES,TOTAL_ROUTERS,ACTIVE_ROUTERS,CHURNED_ROUTERS,PARTNER_OFFICE_ROUTERS,REPAIR_ROUTERS,PARTNER_RECOVERED_ROUTERS
36,1117.2000000000003,1117.2,1293.6,0,0,8,8,0,0,124,27,3,4,20,0,0
636,19815.600000000006,19815.6,20433.0000000001,0,0,70,66,0,0,765,65,49,13,3,0,0
1,0.0,0.0,0.0,0,0,19,6,0,0,269,269,189,60,19,1,0
222,0.0,0.0,0.0,0,0,74,16,0,0,1152,546,124,128,294,0,0
265,0.0,0.0,0.0,0,0,83,12,0,0,926,373,229,126,18,0,0
245,14699.999999999898,14699.9999999999,13876.7999999999,0,0,49,47,0,0,627,138,55,5,78,0,0
260,0.0,0.0,0.0,0,0,47,19,0,0,495,32,13,8,11,0,0
130,0.0,0.0,0.0,0,0,23,7,0,0,292,107,58,32,17,0,0
350,11377.799999999897,11377.7999999999,11465.9999999999,0,0,60,59,0,0,649,70,33,2,35,0,0
34,0.0,0.0,0.0,0,0,8,4,0,0,228,141,29,18,94,0,0
225,0.0,0.0,0.0,0,0,41,13,0,0,491,54,31,15,8,0,0
61,0.0,0.0,0.0,0,0,12,4,0,0,209,100,54,28,18,0,0
21,0.0,0.0,0.0,0,0,11,1,0,0,105,77,36,37,4,0,0
227,0.0,0.0,7732.19999999996,0,0,38,32,0,0,398,61,37,13,11,0,0
205,0.0,0.0,0.0,0,0,37,14,0,0,452,130,54,25,51,0,0
258,6967.79999999997,6967.79999999997,7202.99999999997,0,0,33,29,0,0,393,2,1,0,1,0,0
291,0.0,0.0,0.0,0,0,56,15,0,0,845,311,194,105,12,0,0
58,0.0,470.4,2028.6,0,0,23,16,0,0,117,29,13,8,8,0,0
255,0.0,3557.40000000001,9937.19999999994,0,0,67,60,0,0,571,104,49,17,38,0,0
133,4527.6,4527.6,4615.8,0,0,14,14,0,0,244,53,20,1,32,0,0
121,0.0,0.0,0.0,0,0,37,29,0,0,325,115,77,13,25,0,0
0,0.0,0.0,0.0,0,0,7,0,0,0,30,20,0,18,2,0,0
71,0.0,0.0,0.0,0,0,41,24,0,0,267,65,25,20,20,0,0
132,0.0,0.0,0.0,0,0,27,12,0,0,438,138,75,30,33,0,0
44,0.0,0.0,0.0,0,0,14,4,0,0,204,30,10,12,8,0,0
