SCHEDULAR_RESPONSE,COUPON_UNIQUE_ID,COUPON_CODE,COUPON_AMOUNT,COUPON_REWARDED,COUPON_APPLIED,COUPON_DISCOUNT,CONTACT_LIST,COUPON_ID,COUPON_TYPE,SCHEDULAR_RESPONSE_R3,SCHEDULAR_RESPONSE_R7,SCHEDULAR_RESPONSE_R11,SCHEDULAR_RESPONSE_R15,SCHEDULAR_RESPONSE_R20,SCHEDULAR_RESPONSE_R23,SCHEDULAR_RESPONSE_R25,DEVICE_ID
,1748602724685,REWARD4,4,,,,,,,,,,,,,,
,1748697640239,REWARD2,2,2,[],0,,,,,74e339f2-0de2-4c76-95d7-cf3290bb5b98,,,,,,SY045210
,1748602767381,REWARD5,5,,,,,,,,,,,,,,
,1748861984463,FLAT101,101,,,,,,,,,,,71de76b7-bc41-4391-b0ac-29d07135e143,ecb2b337-d551-4b92-8ec9-d12d4bdc66db,,
e01beaf2-d801-485e-a3cc-fb93a8ee6c8d,,,,,,,,,,2d4c4a80-b822-4988-83dd-4050a2c58d81,,,,,,,
2e7c97b8-0ebd-49e7-a87c-ee6d747c972d,1746529205037,REWARD4,4,0,[1746529205037],4,,,,d1575fa9-fa04-4cd8-b09d-e80fd88d3154,,,,,,,SY048301
f8484d11-e50b-43de-9fe2-a6b4c0956b1d,,,,,,,,,,68b9b2ce-f368-47c5-a1e5-c80a4b246231,,,,,,,
567cd2c1-bb59-46f7-9254-7d8ce9485c86,,,,,,,,,,1020ad02-e1fc-49e4-950d-08cb14586583,,,,,,,
f6e6016d-c99f-4671-bc58-1a79fbec192d,,,,,,,,,,4c432e7d-2a30-48b1-9e28-39c453ee2ba0,,,,,,,
,1748602833145,REWARD11,11,,,,,,,,,,,,,,
22b21d6a-b33d-4729-bbe5-704d60d63ee6,,,,,,,,,,b43063d3-319d-4e6d-a0e4-705496e3b541,,,,,,,
,1748602863490,REWARD13,13,,,,,,,,,,,,,,
,1748602867349,REWARD4,4,,,,,,,,,,,,,,
,1748602871591,REWARD6,6,,,,,,,,,,,,,,
,1749008130595,REWARD2,2,2,[1745578896916],3,,,,,,9d12eec2-0cb6-4484-be0d-b742649be291,0da7656c-bc68-43f4-b811-905a3157bd62,,,,GX890
,1748602911098,REWARD7,7,,,,,,,,,,,,,,
,1748602914226,FLAT101,101,,,,,,,,,,,,3833fd93-3a70-4987-8080-3d7b327178f1,751ca15e-4558-44ff-b34b-8756e8e42564,
b6fd3725-0e8a-4269-9dc2-ef74fd91e832,,,,0,[],,,,,a5c4beea-9d0e-41a4-bb68-72bfeb41e5b4,,,,,,,GX49147
,1748704190633,REWARD2,2,2,[1746452624660],40,,,,,,,84126767-7483-455d-8764-be7858fbb6f7,,,,SY086322
,1748602941053,REWARD6,6,,,,,,,,,,,,,,
013502c0-2fc2-483e-9ac8-9f391d0f3ca6,,,,,,,,,,981bbf9c-ce91-4ea3-a8a6-0d3c8a5ca26e,,,,,,,
,1748602976060,REWARD8,8,,,,,,,,,,,,,,
88e5d917-0a73-4281-9c42-8bc00cb2520d,,,,,,,,,,a94d80e6-224f-4d5d-8b8b-c17dc8f0e8b2,,,,,,,
b8a0faef-16ad-4f81-b0aa-cc7ec2e7264e,1749023281818,REWARD4,4,4,[1748602994273],20,,,,,,,,,,,SY044007
,1748603029505,REWARD4,4,,,,,,,,,,,,,,
