SCHEDULAR_RESPONSE,COUPON_UNIQUE_ID,COUPON_CODE,COUPON_AMOUNT,COUPON_REWARDED,COUPON_APPLIED,COUPON_DISCOUNT,CONTACT_LIST,COUPON_ID,COUPON_TYPE,SCHEDULAR_RESPONSE_R3,SCHEDULAR_RESPONSE_R7,SCHEDULAR_RESPONSE_R11,SCHEDULAR_RESPONSE_R15,SCHEDULAR_RESPONSE_R20,SCHEDULAR_RESPONSE_R23,SCHEDULAR_RESPONSE_R25,DEVICE_ID
"{""jobId"":""1710210""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710210""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710211""}",,,,,,,,,,,,,,,,,
,,,,3,"[1363010,1362808]",5,,,,,,,,,,,169266
"{""jobId"":""1710212""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710212""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710219""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710218""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710213""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710214""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710215""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710216""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710217""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710220""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710220""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710224""}",,,,,,,,,,,,,,,,,
,,,,,[567276],8,,,,,,,,,,,179624
"{""jobId"":""1710226""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710226""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710227""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710227""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710232""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710230""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710231""}",,,,,,,,,,,,,,,,,
"{""jobId"":""1710234""}",,,,,,,,,,,,,,,,,
