SCHEDULAR_RESPONSE,COUPON_UNIQUE_ID,COUPON_CODE,COUPON_AMOUNT,COUPON_REWARDED,COUPON_APPLIED,COUPON_DISCOUNT,CONTACT_LIST,COUPON_ID,COUPON_TYPE,SCHEDULAR_RESPONSE_R3,SCHEDULAR_RESPONSE_R7,SCHEDULAR_RESPONSE_R11,SCHEDULAR_RESPONSE_R15,SCHEDULAR_RESPONSE_R20,SCHEDULAR_RESPONSE_R23,SCHEDULAR_RESPONSE_R25,DEVICE_ID
"{""jobId"":""81006""}",,,,,,,,,,,,,,,,,
"{""jobId"":""81006""}",,,,,,,,,,,,,,,,,
,,,,,,6,,,,,,,,,,,SY049403
"{""jobId"":""81007""}",,,,,,,,,,,,,,,,,
,,,,,,6,,,,,,,,,,,SY049403
"{""jobId"":""81008""}",,,,,,,,,,,,,,,,,
"{""jobId"":""81010""}",,,,,,,,,,,,,,,,,
"{""jobId"":""81010""}",,,,,,,,,,,,,,,,,
"{""jobId"":""81010""}",,,,,,,,,,,,,,,,,
"{""jobId"":""81010""}",,,,,,,,,,,,,,,,,
,,,,,,5,,,,,,,,,,,SY37174
,,,,,,5,,,,,,,,,,,SY37174
,,,,,,5,,,,,,,,,,,SY37174
,,,,,,5,,,,,,,,,,,SY37174
"{""jobId"":""81011""}",,,,,,,,,,,,,,,,,
"{""jobId"":""81011""}",,,,,,,,,,,,,,,,,
,,,,,,14,,,,,,,,,,,SY7184
,,,,,,14,,,,,,,,,,,SY7184
"{""jobId"":""81012""}",,,,,,,,,,,,,,,,,
"{""jobId"":""81012""}",,,,,,,,,,,,,,,,,
,,,,,,14,,,,,,,,,,,SY7184
,,,,,,14,,,,,,,,,,,SY7184
"{""jobId"":""81013""}",,,,,,,,,,,,,,,,,
"{""jobId"":""81013""}",,,,,,,,,,,,,,,,,
,,,,,,50,,,,,,,,,,,44667
