OPTICAL_MIN,OPTICAL_AVG,OPTICAL_MAX,OPTICAL_IN_RANGE_PINGS,DEVICE_ID
-22,-22,-22,,GX17956
-26,-26,-26,,GX2203
-15,-15,-15,,GX40001
-25,-25,-25,,GX147597
-23,-23,-23,,GX32918
-27,-27,-27,,GX91328
-14,-14,-14,,GX92127
-24,-24,-24,,SY13270
-27,-27,-27,,GX58574
-22,-22,-22,,SY33195
-21,-21,-21,,GX45363
-24,-24,-24,,GX152050
-24,-24,-23,,GX33829
-24,-24,-24,,SY048687
-34,-33,-33,,GX57248
-18,-18,-18,,GX27839
-28,-28,-27,,GX41768
-20,-20,-20,,GX56720
-22,-21,-21,,GX46120
-22,-22,-22,,GX35609
-19,-19,-19,,GX87932
-21,-21,-21,,GX138428
-25,-25,-25,,GX16624
-27,-27,-27,,GX110968
-19,-19,-19,,GX150067
