EPG_TXN_ID,TXN_OBJECT_TYPE,TXN_DETAIL_ID,TXN_UUID,EFFECTIVE_TXN_AMOUNT,JUSPAY_TXN_ID,TXN_LAST_MODIFIED,TXN_FLOW_TYPE,TXN_CONFLICT,PREVIOUS_TXN_STATUS, effective_txn_amount 
20250529210600000134986262617281387,ORDER_PAYMENT,25787816668,moz2qkxt9Btvz9i6aP4,6,wiom-w_7982999537_170703611_1-1,2025-05-29T23:10:34,INTENT,RESOLVED,PENDING_VBV,
20250529210620000134986403139672788,ORDER_PAYMENT,25787822727,mozfuQ7NGzBdJ5CWu2C,9,wiom-w_6397189934_170703645_0-1,2025-05-29T23:11:12,INTENT,RESOLVED,PENDING_VBV,
pay_QapYoIKCMfsLwW,ORDER_PAYMENT,25787827757,mozfAcaPokjzUJwdqhb,7,wiom-w_8700551161_170703673_0-1,2025-05-29T23:11:41,INTENT,RESOLVED,PENDING_VBV,
20250529210330000134986920573895974,ORDER_PAYMENT,25787845193,mozhgi3gyQx8jtp4QYL,5,wiom-w_7683040561_170703768_1-1,2025-05-29T23:13:09,INTENT,RESOLVED,PENDING_VBV,
20250529210510000134987026370698913,ORDER_PAYMENT,25787849604,mozqaF42v7B8Gyp1AU6,5,wiom-w_7217745883_170703793_0-1,2025-05-29T23:17:44,INTENT,RESOLVED,AUTHORIZING,
20250529210390000134987245259192834,ORDER_PAYMENT,25787858951,moz5dHyoXPe9DpKJvwi,25,wiom-custGen_8178209086_170703840_1-1,2025-05-29T23:15:16,INTENT,RESOLVED,PENDING_VBV,
20250529210470000134987372883291764,ORDER_PAYMENT,25787864293,mozrvsaJ7bF35WM8y4N,488,wiom-custGen_9911852615_170703871_1-1,2025-05-29T23:14:54,INTENT,RESOLVED,PENDING_VBV,
20250529210510000134987495734289894,ORDER_PAYMENT,25787869448,mozfLvx3o89Mfs6UtDy,5,wiom-w_8506085990_170703905_0-1,2025-05-29T23:16:07,INTENT,RESOLVED,PENDING_VBV,
20250529210540000134987742460214467,ORDER_PAYMENT,25787879853,mozfS8zP1eTsMaa5Kie,429,wiom-custGen_8506862729_170703960_1-1,2025-05-29T23:16:18,INTENT,RESOLVED,PENDING_VBV,
pay_QapfR89c24mOxp,ORDER_PAYMENT,25787894548,mozjjs9eNW6tag9Z58d,10,wiom-w_8448363009_170704049_1-1,2025-05-29T23:18:05,INTENT,RESOLVED,PENDING_VBV,
OMO2505292318086306675054,ORDER_PAYMENT,25787901160,mozk61d3LGquvqiu9Lc,6,wiom-w_9540642104_170704088_1-1,2025-05-29T23:18:51,INTENT,RESOLVED,PENDING_VBV,
20250529210410000134988433644424950,ORDER_PAYMENT,25787908366,mozdbpqdYwcDSVZYrze,5,wiom-w_9213228570_170704128_1-1,2025-05-29T23:19:13,INTENT,RESOLVED,PENDING_VBV,
20250529210350000134988594885979698,ORDER_PAYMENT,25787915008,mozgjGjdVmaGsj9rgr5,10,wiom-w_9560958154_170704167_1-1,2025-05-29T23:22:13,INTENT,RESOLVED,AUTHORIZING,
20250529210450000134988763643372958,ORDER_PAYMENT,25787921941,mozokp7xdNkVWiVFaD9,4,wiom-w_9142178472_170704207_1-1,2025-05-29T23:21:10,INTENT,RESOLVED,PENDING_VBV,
20250529210480000134989201420261587,ORDER_PAYMENT,25787940128,mozgvifFB6a23buhizK,6,wiom-w_7786065460_170704312_1-1,2025-05-29T23:22:07,INTENT,RESOLVED,PENDING_VBV,
20250529210330000134989301281815169,ORDER_PAYMENT,25787944260,mozaiCr6snCf9DhVHcR,6,wiom-w_7053314702_170704336_0-1,2025-05-29T23:24:14,INTENT,RESOLVED,AUTHORIZING,
pay_QaplPrT9OaeHmN,ORDER_PAYMENT,25787953282,mozgaWDN2opqXhxkj2v,10,wiom-w_9582536243_170704389_1-1,2025-05-29T23:23:48,INTENT,RESOLVED,PENDING_VBV,
20250529210330000134989818276068417,ORDER_PAYMENT,25787964991,moz7x2LTbaz7UcYQr34,12,wiom-w_9667744284_170704459_1-1,2025-05-29T23:24:46,INTENT,RESOLVED,PENDING_VBV,
20250529210410000134990040645860362,ORDER_PAYMENT,25787973766,mozaKv3G3eNNPV4yAtp,575,wiom-custGen_7834829490_170704496_0-1,2025-05-29T23:25:33,INTENT,RESOLVED,PENDING_VBV,
20250529210580000134990167233811572,ORDER_PAYMENT,25787979234,mozdGy6ZrTrwg9fPGe9,5,wiom-w_9068211584_170704542_0-1,2025-05-29T23:26:13,INTENT,RESOLVED,PENDING_VBV,
20250529210530000134990536521576080,ORDER_PAYMENT,25787995113,mozmG13MSgg1Me66p8o,5,wiom-w_8954901313_170704630_1-1,2025-05-29T23:27:29,INTENT,RESOLVED,PENDING_VBV,
20250529210350000134990974151057196,ORDER_PAYMENT,25788012546,moztyVrB6VqvgmH9KUN,5,wiom-w_9891181097_170704734_0-1,2025-05-29T23:30:27,INTENT,RESOLVED,PENDING_VBV,
20250529210600000134991192027588608,ORDER_PAYMENT,25788020983,moze2mtfoLXXjCk8yGW,5,wiom-w_8826361983_170704786_0-1,2025-05-29T23:30:14,INTENT,RESOLVED,PENDING_VBV,
20250529210580000134991418159813291,ORDER_PAYMENT,25788029813,mozqokdzYcQWCdiJBAt,4,wiom-w_9654184578_170704840_1-1,2025-05-29T23:32:01,INTENT,RESOLVED,PENDING_VBV,
OMO2505292331093139145672,ORDER_PAYMENT,25788034251,mozfB7dmzcMf1TgCL2m,10,wiom-w_8920123723_170704868_0-1,2025-05-29T23:33:45,INTENT,RESOLVED,AUTHORIZING,
