ACTIVE_CUSTOMER_WITH_OPTICAL_POWER,CLAIM_DEVICE_BONUS_M0,CLAIM_DEVICE_BONUS_M1,CLAIM_DEVICE_BONUS_M2,CLAIM_DEVICE_BONUS_M3,DEVICE_BONUS_M0,DEVICE_BONUS_M1,DEVICE_BONUS_M2,DEVICE_BONUS_M3,DEVICE_TICKET_M0,DEVICE_TICKET_M1,DEVICE_TICKET_M2,DEVICE_TICKET_M3,DEVICE_TICKET_SLA_M0,DEVICE_TICKET_SLA_M1,DEVICE_TICKET_SLA_M2,DEVICE_TICKET_SLA_M3
154,3675.0000000000095,3880.80000000001,5350.799999999988,4821.6,3675.0000000000100,3880.8000000000100,5350.7999999999900,4821.6000000000000,0,0,25,0,0,0,24,0
62,0.0,2410.7999999999993,3116.4000000000087,2998.80000000001,0E-13,2410.8000000000000,3116.4000000000100,2998.8000000000100,0,0,20,0,0,0,16,0
54,1381.8000000000002,1587.6,1646.4,2116.8,1381.8000000000000,1587.6000000000000,1646.4000000000000,2116.8000000000000,0,0,9,0,0,0,8,0
180,5468.399999999989,5350.79999999999,6173.99999999998,5791.799999999989,5468.3999999999900,5350.7999999999900,6173.9999999999800,5791.7999999999900,0,0,22,0,0,0,15,0
59,1793.4,1617.0,1793.4,1969.8000000000002,1793.4000000000000,1617.0000000000000,1793.4000000000000,1969.8000000000000,0,0,8,0,0,0,6,0
1,0.0,294.0,0.0,323.4,0E-13,294.0000000000000,0E-13,323.4000000000000,0,0,0,0,0,0,0,0
85,0.0,0.0,0.0,0.0,0E-13,0E-13,0E-13,0E-13,0,0,24,0,0,0,14,0
1,441.0,0.0,235.1999999999971,176.40000000000146,205.8000000000000,235.2000000000000,235.2000000000000,176.4000000000000,0,0,1,0,0,0,1,0
3,147.0,205.79999999999995,176.39999999999998,205.8,147.0000000000000,205.8000000000000,176.4000000000000,205.8000000000000,0,0,1,0,0,0,1,0
59,1499.3999999999996,0.0,0.0,1616.9999999999982,1499.4000000000000,0E-13,0E-13,1617.0000000000000,0,0,9,0,0,0,4,0
51,0.0,0.0,0.0,0.0,0E-13,0E-13,0E-13,0E-13,0,0,27,0,0,0,4,0
8,0.0,0.0,0.0,0.0,0E-13,0E-13,0E-13,0E-13,0,0,5,0,0,0,0,0
11,0.0,0.0,0.0,0.0,0E-13,0E-13,0E-13,0E-13,0,0,3,0,0,0,0,0
104,0.0,0.0,0.0,0.0,0E-13,0E-13,0E-13,0E-13,0,0,22,0,0,0,5,0
43,0.0,0.0,0.0,0.0,0E-13,0E-13,0E-13,0E-13,0,0,7,0,0,0,2,0
5,0.0,999.6000000000004,0.0,0.0,323.4000000000000,0E-13,352.8000000000000,117.6000000000000,0,0,0,0,0,0,0,0
3,0.0,0.0,0.0,0.0,0E-13,0E-13,117.6000000000000,0E-13,0,0,0,0,0,0,0,0
27,0.0,0.0,0.0,0.0,0E-13,0E-13,0E-13,0E-13,0,0,11,0,0,0,1,0
12,499.80000000000007,0.0,0.0,441.0,499.8000000000000,0E-13,0E-13,441.0000000000000,0,0,1,0,0,0,0,0
56,0.0,0.0,1558.2000000000007,0.0,0E-13,0E-13,1558.2000000000000,0E-13,0,0,9,0,0,0,4,0
140,4116.00000000001,0.0,0.0,0.0,4116.0000000000100,0E-13,0E-13,0E-13,0,0,14,0,0,0,11,0
298,8819.99999999995,8437.79999999996,9937.19999999994,9672.59999999994,8819.9999999999500,8437.7999999999600,9937.1999999999400,9672.5999999999400,0,0,37,0,0,0,30,0
13,294.0,0.0,0.0,617.4000000000001,294.0000000000000,0E-13,0E-13,0E-13,0,0,4,0,0,0,2,0
72,0.0,2616.6000000000004,3704.4000000000106,4233.60000000001,0E-13,2616.6000000000000,3704.4000000000100,4233.6000000000100,0,0,26,0,0,0,17,0
41,999.5999999999999,852.6,1117.2000000000003,1205.4,999.6000000000000,852.6000000000000,1117.2000000000000,1205.4000000000000,0,0,8,0,0,0,6,0
