ACTIVE_CUSTOMER_WITH_OPTICAL_POWER,CLAIM_DEVICE_BONUS_M0,DEVICE_BONUS_M0,DEVICE_BONUS_M1,DEVICE_TICKET_M1,DEVICE_TICKET_SLA_M1,DEVICE_TICKET_M2,DEVICE_TICKET_SLA_M2,DEVICE_TICKET_M3,DEVICE_TICKET_SLA_M3,TOTAL_DEVICES,TOTAL_ROUTERS,ACTIVE_ROUTERS,CHURNED_ROUTERS,PARTNER_OFFICE_ROUTERS,REPAIR_ROUTERS,PARTNER_RECOVERED_ROUTERS
73,2881.2,2881.2,1852.2,0,0,15,12,0,0,254,0,0,0,0,0,0
111,0.0,0.0,0.0,0,0,26,15,0,0,441,192,107,2,83,0,0
291,0.0,0.0,0.0,0,0,56,15,0,0,845,311,194,105,12,0,0
265,0.0,0.0,0.0,0,0,83,12,0,0,926,373,229,126,18,0,0
222,0.0,0.0,0.0,0,0,74,16,0,0,1152,546,124,128,294,0,0
636,19815.600000000006,19815.6,20433.0000000001,0,0,70,66,0,0,765,65,49,13,3,0,0
433,8937.59999999995,8937.59999999995,12347.9999999999,0,0,75,70,0,0,620,47,14,7,26,0,0
353,0.0,5938.79999999999,15552.5999999999,0,0,60,57,0,0,758,209,144,19,46,0,0
350,11377.799999999897,11377.7999999999,11465.9999999999,0,0,60,59,0,0,649,70,33,2,35,0,0
379,0.0,0.0,0.0,0,0,57,13,0,0,814,91,58,29,4,0,0
203,0.0,3381.00000000001,9172.79999999995,0,0,59,55,0,0,460,116,93,16,7,0,0
260,0.0,0.0,0.0,0,0,47,19,0,0,495,32,13,8,11,0,0
61,0.0,0.0,0.0,0,0,12,4,0,0,209,100,54,28,18,0,0
255,0.0,3557.40000000001,9937.19999999994,0,0,67,60,0,0,571,104,49,17,38,0,0
34,0.0,0.0,0.0,0,0,8,4,0,0,228,141,29,18,94,0,0
612,0.0,0.0,0.0,0,0,70,21,0,0,940,143,70,48,25,0,0
103,4998.0,4998.0,4909.8,0,0,26,25,0,0,340,199,69,8,121,1,0
121,0.0,0.0,0.0,0,0,37,29,0,0,325,115,77,13,25,0,0
383,0.0,4674.6,12759.5999999999,0,0,32,27,0,0,617,79,47,10,22,0,0
169,0.0,3410.40000000001,9848.99999999994,0,0,43,41,0,0,515,170,108,22,40,0,0
154,6732.59999999998,6732.59999999998,6820.79999999998,0,0,19,18,0,0,332,107,72,12,23,0,0
132,0.0,0.0,0.0,0,0,27,12,0,0,438,138,75,30,33,0,0
205,0.0,0.0,0.0,0,0,37,14,0,0,452,130,54,25,51,0,0
225,0.0,5409.59999999999,14111.9999999999,0,0,60,52,0,0,696,114,75,7,32,0,0
376,9055.19999999995,9055.19999999995,11936.3999999999,0,0,52,50,0,0,492,17,6,0,11,0,0
