TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
DBT,AVG_DOWNLOAD_SPEED,DEVICES_TESTED,NUMBER,2
DBT,AVG_JITTER,DEVICES_TESTED_V3,NUMBER,2
DBT,AVG_LATENCY,DEVICES_TESTED_V3,NUMBER,2
DBT,AVG_OPTICAL_SIGNAL,NAS_ID,NUMBER,1
DBT,AVG_OPTICAL_SIGNAL,DATE_IST,DATE,2
DBT,AVG_OPTICAL_SIGNAL,AVG_OPTICAL_DBM,NUMBER,3
DBT,AVG_OPTICAL_SIGNAL,OPTICAL_READINGS,NUMBER,4
DBT,AVG_OPTICAL_SIGNAL,OPTICAL_HEALTH,TEXT,5
DBT,BASE_EXPIRY_EVENTS,ROUTER_NAS_ID,NUMBER,3
DBT,BASE_PLANS,ROUTER_NAS_ID,NUMBER,1
DBT,BOOKINGVANILLA,DEVICE_ID,TEXT,40
DBT,BOOKINGVANILLA,DEVICE,TEXT,130
DBT,BOOKINGVANILLA,ROUTERMAC,TEXT,132
DBT,BOOKINGVANILLA,DEVICEID,TEXT,133
DBT,BOOKINGVANILLA_AUDIT,DEVICE_ID,TEXT,40
DBT,BOOKINGVANILLA_AUDIT,DEVICE,TEXT,130
DBT,BOOKINGVANILLA_AUDIT,ROUTERMAC,TEXT,132
DBT,BOOKINGVANILLA_AUDIT,DEVICEID,TEXT,133
DBT,CUSTOMER_BASE,LIVE_R25_DEVICES,NUMBER,4
DBT,CUSTOMER_BASE,PAYING_DEVICES,NUMBER,6
DBT,CUSTOMER_BASE,ACTIVE_R15_DEVICES,NUMBER,8
DBT,CUSTOMER_PROFILE,ROUTER_NAS_ID_INSTALLATION,NUMBER,19
DBT,CUSTOMER_PROFILE,ROUTER_NAS_ID_CURRENT,NUMBER,25
DBT,CUSTOMER_PROFILE_MODEL,ROUTER_NAS_ID_INSTALLATION,NUMBER,19
DBT,CUSTOMER_PROFILE_MODEL,ROUTER_NAS_ID_CURRENT,NUMBER,25
DBT,DAILY_DATA_USAGE,ROUTERMAC,TEXT,3
DBT,DAILY_DATA_USAGE,TOTAL_CONNECTED_DEVICES_DAILY,NUMBER,7
DBT,DAILY_UPTIME,PLAN_ACTIVE_DEVICES,NUMBER,2
DBT,DEVICES_ACHIEVING_90PCT_SPEED,DEVICES_TESTED,NUMBER,2
DBT,DEVICES_IMPACTED,DEVICES_IMPACTED,NUMBER,2
DBT,DEVICE_RECOVERY_MODEL,ROUTER_NAS_ID,NUMBER,1
DBT,DEVICE_RECOVERY_MODEL,DEVICE_ID,TEXT,12
DBT,DEVICE_RECOVERY_MODEL,DEVICE_TYPE,TEXT,13
DBT,DIM_BUSINESS_SEGMENT,ROUTER_NAS_ID,NUMBER,1
DBT,DIM_NAS_SEGMENT,ROUTER_NAS_ID,NUMBER,1
DBT,DIM_NAS_TENURE,ROUTER_NAS_ID,NUMBER,1
DBT,DIM_TENURE_BUCKET,ROUTER_NAS_ID,NUMBER,1
DBT,FCT_ACTIVE_PLAN_DAYS,ROUTER_NAS_ID,NUMBER,1
DBT,FCT_AVG_DOWNLOAD_SPEED,DEVICES_TESTED,NUMBER,2
DBT,FCT_AVG_JITTER,DEVICES_TESTED_V3,NUMBER,2
DBT,FCT_AVG_LATENCY,DEVICES_TESTED_V3,NUMBER,2
