TABLE_SCHEMA,TABLE_NAME,SIGNAL_SCORE,MATCHED_COLUMN_COUNT,VALUE_COLUMNS,CONTEXT_COLUMNS,ROW_COUNT,LAST_ALTERED
PUBLIC,PARTNER_JANAM_KUNDLI2,72,32,ACTIVE_CUSTOMER_WITH_OPTICAL_POWER,"CLAIM_DEVICE_BONUS_M0, CLAIM_DEVICE_BONUS_M1, CLAIM_DEVICE_BONUS_M2, CLAIM_DEVICE_BONUS_M3, DEVICE_BONUS_M0, DEVICE_BONUS_M1, DEVICE_BONUS_M2, DEVICE_BONUS_M3, DEVICE_BONUS_M1_MTD, DEVICE_BONUS_M2_MTD, DEVICE_BONUS_M3_MTD, ACTIVE_CUSTOMER_WITH_OPTICAL_POWER, DEVICE_TICKET_M0, DEVICE_TICKET_M1, DEVICE_TICKET_M2, DEVICE_TICKET_M3, DEVICE_TICKET_SLA_M0, DEVICE_TICKET_SLA_M1, DEVICE_TICKET_SLA_M2, DEVICE_TICKET_SLA_M3",0.0,2026-03-24 08:05:01.235000+05:30
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,52,33,,"ENTRY_UNIX_EPOCH_TIME, CREATED_TIME, FIRST_RECHARGE_TIME, PLAN_START_TIME, DEVICE_LIMIT, LCO_ACCOUNT_ID, ENTRY_DATE, TIME_PLAN, LONG_SECONDARY_NAS, PLAN_ID, PLAN_END_TIME, STATUS, CONNECTION, PLAN_AMOUNT, AUTH_STATE, UPDATE_AT, PLAN_NAME, PLAN_INCREASED_IN_SEC",25544722.0,2026-06-27 13:39:06.490000+05:30
DBT,PARTNER_JANAM_KUNDLI,42,17,ACTIVE_CUSTOMER_WITH_OPTICAL_POWER,"ACTIVE_CUSTOMER_WITH_OPTICAL_POWER, CLAIM_DEVICE_BONUS_M0, DEVICE_BONUS_M0, DEVICE_BONUS_M1, DEVICE_TICKET_M1, DEVICE_TICKET_SLA_M1, DEVICE_TICKET_M2, DEVICE_TICKET_SLA_M2, DEVICE_TICKET_M3, DEVICE_TICKET_SLA_M3, TOTAL_DEVICES, TOTAL_ROUTERS, ACTIVE_ROUTERS, CHURNED_ROUTERS, PARTNER_OFFICE_ROUTERS, REPAIR_ROUTERS, PARTNER_RECOVERED_ROUTERS",1763.0,2026-06-27 13:05:00.077000+05:30
PUBLIC,PARTNER_GROWTH_CARD_RAW,42,17,ACTIVE_CUSTOMER_WITH_OPTICAL_POWER,"CLAIM_DEVICE_BONUS_M0, CLAIM_DEVICE_BONUS_M1, CLAIM_DEVICE_BONUS_M2, CLAIM_DEVICE_BONUS_M3, DEVICE_BONUS_M0, DEVICE_BONUS_M1, DEVICE_BONUS_M2, DEVICE_BONUS_M3, ACTIVE_CUSTOMER_WITH_OPTICAL_POWER, DEVICE_TICKET_M0, DEVICE_TICKET_M1, DEVICE_TICKET_M2, DEVICE_TICKET_M3, DEVICE_TICKET_SLA_M0, DEVICE_TICKET_SLA_M1, DEVICE_TICKET_SLA_M2, DEVICE_TICKET_SLA_M3",1078.0,2026-06-27 12:45:41.567000+05:30
PUBLIC,PARTNER_JANAM_KUNDLI,42,17,ACTIVE_CUSTOMER_WITH_OPTICAL_POWER,"ACTIVE_CUSTOMER_WITH_OPTICAL_POWER, CLAIM_DEVICE_BONUS_M0, DEVICE_BONUS_M0, DEVICE_BONUS_M1, DEVICE_TICKET_M1, DEVICE_TICKET_SLA_M1, DEVICE_TICKET_M2, DEVICE_TICKET_SLA_M2, DEVICE_TICKET_M3, DEVICE_TICKET_SLA_M3, TOTAL_DEVICES, TOTAL_ROUTERS, ACTIVE_ROUTERS, CHURNED_ROUTERS, PARTNER_OFFICE_ROUTERS, REPAIR_ROUTERS, PARTNER_RECOVERED_ROUTERS",1763.0,2026-06-27 13:21:20.853000+05:30
DBT,AVG_OPTICAL_SIGNAL,38,5,"AVG_OPTICAL_DBM, OPTICAL_READINGS, OPTICAL_HEALTH",DATE_IST,7887023.0,2026-06-11 12:07:47.130000+05:30
DBT,FCT_OPTICAL_SIGNAL,38,5,"AVG_OPTICAL_DBM, OPTICAL_READINGS, OPTICAL_HEALTH",DATE_IST,9039555.0,2026-06-27 12:54:48.281000+05:30
PUBLIC,HOURLY_DEVICE_PING_INFLUX,38,5,"OPTICAL_MIN, OPTICAL_AVG, OPTICAL_MAX, OPTICAL_IN_RANGE_PINGS",DEVICE_ID,155560913.0,2026-06-27 12:09:10.356000+05:30
PUBLIC,HOURLY_DEVICE_PING_SUMMARY,38,5,"OPTICAL_MIN, OPTICAL_MAX, OPTICAL_SUM, OPTICAL_CNT",DEVICE_ID,174439791.0,2026-06-27 13:18:03.566000+05:30
PUBLIC,HOURLY_DEVICE_PING_SUMMARY_22_JAN_TEST,38,5,"OPTICAL_MIN, OPTICAL_MAX, OPTICAL_SUM, OPTICAL_CNT",DEVICE_ID,282729.0,2026-01-22 16:22:54.484000+05:30
