file,service_id,dependency_count,event_count,endpoint_count,flow_count,entity_count,entities
asset-custody-prd-v1.2.yaml,csp-asset-custody-service,17,37,32,366,7,"device_order, netbox_custody, custody_audit_log, custody_pattern, processed_events, device_orders, custody_patterns"
asset-custody-prd-v1.3.yaml,csp-asset-custody-service,17,37,32,366,7,"device_order, netbox_custody, custody_audit_log, custody_pattern, processed_events, device_orders, custody_patterns"
asset-custody-prd-v1.4.yaml,csp-asset-custody-service,17,37,32,366,7,"device_order, netbox_custody, custody_audit_log, custody_pattern, processed_events, device_orders, custody_patterns"
asset-custody-prd.yaml,csp-asset-custody-service,13,25,26,335,7,"device_order, netbox_custody, custody_audit_log, custody_pattern, processed_events, device_orders, custody_patterns"
capability-intervention-prd-v1.1.yaml,csp-capability-intervention-service,15,35,14,263,4,"capability_intervention_record, relapse_tracker, processed_events, capability_intervention_records"
capability-intervention-prd-v1.2.yaml,csp-capability-intervention-service,15,35,14,263,4,"capability_intervention_record, relapse_tracker, processed_events, capability_intervention_records"
capability-intervention-prd.yaml,csp-capability-intervention-service,15,34,14,263,4,"capability_intervention_record, relapse_tracker, processed_events, capability_intervention_records"
capacity-coverage-prd-v1.1.yaml,csp-capacity-coverage-service,20,50,25,310,15,"zone, csp_zone_eligibility, capacity_cap, effective_coverage, cross_zone_directive, over_cap_breach, zone_reclassification_audit, processed_events, zones, csp_zone_eligibilities, capacity_caps, effective_coverages, cross_zone_directives, over_cap_breaches"
capacity-coverage-prd-v1.2.yaml,csp-capacity-coverage-service,20,52,27,310,15,"zone, csp_zone_eligibility, capacity_cap, effective_coverage, cross_zone_directive, over_cap_breach, zone_reclassification_audit, processed_events, zones, csp_zone_eligibilities, capacity_caps, effective_coverages, cross_zone_directives, over_cap_breaches"
capacity-coverage-prd-v1.3.yaml,csp-capacity-coverage-service,20,52,27,310,15,"zone, csp_zone_eligibility, capacity_cap, effective_coverage, cross_zone_directive, over_cap_breach, zone_reclassification_audit, processed_events, zones, csp_zone_eligibilities, capacity_caps, effective_coverages, cross_zone_directives, over_cap_breaches"
capacity-coverage-prd-v1.4.yaml,csp-capacity-coverage-service,20,54,27,310,15,"zone, csp_zone_eligibility, capacity_cap, effective_coverage, cross_zone_directive, over_cap_breach, zone_reclassification_audit, processed_events, zones, csp_zone_eligibilities, capacity_caps, effective_coverages, cross_zone_directives, over_cap_breaches"
capacity-coverage-prd.yaml,csp-capacity-coverage-service,20,43,25,310,15,"zone, csp_zone_eligibility, capacity_cap, effective_coverage, cross_zone_directive, over_cap_breach, zone_reclassification_audit, processed_events, zones, csp_zone_eligibilities, capacity_caps, effective_coverages, cross_zone_directives, over_cap_breaches"
compensation-prd-v1.1.yaml,csp-compensation-service,13,46,19,340,6,"csp_compensation_posture, entitlement_ledger, fpv_hold_record, correction_balance_store, intervention_support_record, processed_events"
compensation-prd-v1.2.yaml,csp-compensation-service,13,48,20,365,6,"csp_compensation_posture, entitlement_ledger, fpv_hold_record, correction_balance_store, intervention_support_record, processed_events"
compensation-prd-v1.3.yaml,csp-compensation-service,13,48,20,365,6,"csp_compensation_posture, entitlement_ledger, fpv_hold_record, correction_balance_store, intervention_support_record, processed_events"
