TABLE_SCHEMA,TABLE_NAME,ROW_COUNT,BYTES,CREATED,LAST_ALTERED
PUBLIC,ROUTER_LOGS,254989973,5960155136,2025-05-30 16:09:47.305000+05:30,2026-06-27 13:22:01.122000+05:30
PUBLIC,CLEVERTAP_CUSTOMER_HIST,59970857,37669329408,2025-07-14 16:06:56.379000+05:30,2026-06-06 08:39:59.988000+05:30
PUBLIC,CUSTOMER_LOGS,40253292,3186883072,2025-05-29 16:21:58.795000+05:30,2026-06-27 13:10:52.105000+05:30
PUBLIC,CUSTOMERVANILLA_AUDIT,36252106,1804090880,2025-08-21 17:33:33.774000+05:30,2026-06-27 13:15:54.031000+05:30
PUBLIC,ROUTER_DETAILS_AUDIT,35854602,499684352,2025-06-20 20:04:13.680000+05:30,2026-06-27 10:01:12.530000+05:30
PUBLIC,CUSTOMER_DAILY_DATA_USAGE,35536795,576252928,2025-10-31 13:27:27.429000+05:30,2026-06-23 01:08:43.816000+05:30
PUBLIC,TASKVANILLA_AUDIT,33385014,1554428416,2025-05-31 11:12:44.019000+05:30,2026-06-27 13:29:51.802000+05:30
PUBLIC,CT_CUSTOMER_APP_EVENTS_MV,31843100,2150948864,2026-06-22 20:14:55.357000+05:30,2026-06-27 11:56:26.478000+05:30
PUBLIC,ROUTER_DETAILS_AUDIT_PRE_MIGRATION,30393198,410442752,2026-03-25 13:20:42.964000+05:30,2026-03-25 13:20:43.907000+05:30
PUBLIC,ROUTER_DETAILS_AUDIT_BACKUP,30060256,405135360,2026-03-12 16:00:56.056000+05:30,2026-03-12 16:00:56.939000+05:30
PUBLIC,CT_PARTNER_BOOKING_TO_INSTALL_MV,28023277,1686919168,2026-06-22 20:44:42.240000+05:30,2026-06-27 07:08:40.676000+05:30
PUBLIC,ROUTER_DETAILS_AUDIT_CLONE,27092393,372333568,2026-01-14 17:47:44.579000+05:30,2026-01-14 17:47:45.373000+05:30
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,25544489,1498169856,2025-04-07 16:17:29.642000+05:30,2026-06-27 13:23:58.110000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_SECONDARY_TABLE_DE,25543489,1288886784,2025-08-29 14:07:19.481000+05:30,2026-06-27 13:00:28.880000+05:30
PUBLIC,CUSTOMERVANILLA_AUDIT_BKP,24432409,1219376640,2025-08-21 17:31:23.666000+05:30,2025-08-21 17:33:03.089000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_SECONDARY_TABLE_DE_PRE_MIGRATION,23480170,1146354688,2026-03-23 16:10:18.666000+05:30,2026-03-23 17:00:45.194000+05:30
DBT,TASKVANILLA_AUDIT,21235871,1312995328,2026-06-18 15:55:11.289000+05:30,2026-06-27 12:51:15.855000+05:30
PUBLIC,CT_PARTNER_CSP_EVENTS_MV,20073688,940085248,2026-06-22 20:49:09.547000+05:30,2026-06-22 20:52:04.019000+05:30
PUBLIC,CT_PARTNER_APP_LAUNCH,19038917,652033024,2025-11-06 18:59:26.351000+05:30,2026-06-27 04:45:01.982000+05:30
PUBLIC,CUSTOMER_INFLUX_SUMMARY,17726753,201341952,2025-10-29 16:55:26.568000+05:30,2026-03-23 07:45:03.099000+05:30
PUBLIC,CT_CUSTOMER_APP_LAUNCH,15695062,480135680,2026-06-22 20:16:16.069000+05:30,2026-06-27 11:56:24.879000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_SHARD_01,14824796,811719168,2026-01-13 17:24:48.524000+05:30,2026-01-13 17:31:52.853000+05:30
PUBLIC,T_WG_CUSTOMER_AUDIT,12884205,1179069952,2026-04-07 18:39:02.922000+05:30,2026-06-27 13:10:00.822000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_I2E1,12360048,688438784,2026-01-13 17:24:41.094000+05:30,2026-01-13 17:31:32.388000+05:30
PUBLIC,T_WG_CUSTOMER_AUDIT_NEW,11779891,798969856,2026-04-07 18:03:28.595000+05:30,2026-04-07 18:38:52.276000+05:30
PUBLIC,T_WG_CUSTOMER_AUDIT_PRE_MIGRATION,11775003,749655040,2026-03-23 13:56:23.389000+05:30,2026-04-07 16:57:30.268000+05:30
PUBLIC,T_WG_CUSTOMER_AUDIT_BACKUP_2026_04_02,11669213,974179840,2026-04-02 17:38:27.776000+05:30,2026-04-02 17:38:49.771000+05:30
PUBLIC,T_WG_CUSTOMER_AUDIT_ACTIVE,11659019,759814656,2026-03-22 13:52:03.537000+05:30,2026-03-22 13:52:28.712000+05:30
PUBLIC,T_WG_CUSTOMER_AUDIT_BACKUP_2026_03_19,11631019,760427008,2026-03-19 17:18:42.860000+05:30,2026-03-19 17:18:54.164000+05:30
DBT,INT_IX_PLAN_ACTIVE_DAILY,10904009,54106112,2026-06-13 10:39:45.854000+05:30,2026-06-27 12:52:55.901000+05:30
PUBLIC,T_WG_CUSTOMER_AUDIT_1,10648927,1169571328,2025-06-23 19:07:45.211000+05:30,2025-06-24 10:52:41.660000+05:30
PUBLIC,CT_PARTNER_AKHIL_11_FEB,10542069,27577698304,2026-02-11 17:40:34.833000+05:30,2026-02-25 15:56:52.625000+05:30
PUBLIC,CT_PARTNER_AKHIL_10_FEB,10514323,14362209280,2026-02-10 20:14:15.941000+05:30,2026-02-11 17:46:17.174000+05:30
PUBLIC,CT_CUSTOMER_APP_LAUNCH_1,9635050,494208512,2026-03-11 12:08:18.741000+05:30,2026-03-11 12:08:19.580000+05:30
PUBLIC,CT_CUSTOMER_SECURITY_JOURNEY_MV,9470468,335246336,2026-06-22 20:38:52.290000+05:30,2026-06-27 11:56:26.384000+05:30
DBT,T_ACCOUNT_BALANCE_SHEET1,7974231,539080704,2026-06-13 10:33:02.399000+05:30,2026-06-27 12:49:56.847000+05:30
PUBLIC,CT_CUSTOMER_HOME_PAGE_LOAD_1,7780516,424653824,2026-03-11 12:11:00.640000+05:30,2026-03-11 12:11:01.184000+05:30
PUBLIC,CLEVERTAP_PARTNER_HIST,7511168,2810722304,2025-07-11 11:37:33.721000+05:30,2025-07-23 17:53:18.273000+05:30
DYNAMODB,ACCOUNT_WALLET_HISTORY,7468175,662367232,2025-03-20 12:17:27.314000+05:30,2026-06-27 13:24:23.440000+05:30
DYNAMODB,ROUTER_OPERATION,7444918,298791936,2025-03-25 14:41:15.701000+05:30,2026-06-27 13:23:56.690000+05:30
PUBLIC,PARTNERVANILLA_AUDIT,7199396,95083008,2025-06-02 11:28:51.219000+05:30,2026-06-26 23:42:39.049000+05:30
PUBLIC,PARTNER_LOGS,7116508,512110592,2025-05-29 16:21:58.526000+05:30,2026-06-26 23:40:43.383000+05:30
PUBLIC,T_ADDRESS,7034606,356302336,2026-03-19 23:21:52.542000+05:30,2026-06-27 12:43:26.941000+05:30
PUBLIC,CT_CUSTOMER_PAYG_MIGRATION_EVENTS_MV,6994933,200072192,2026-06-22 20:36:45.919000+05:30,2026-06-27 11:56:26.788000+05:30
PUBLIC,OKR_PARTNER_90_DAYS_INV_TEMP,6946535,66832896,2026-06-27 03:10:01.252000+05:30,2026-06-27 03:15:29.709000+05:30
PUBLIC,CT_CUSTOMER_HOME_PAGE_LOAD,6940041,249703424,2026-06-22 20:20:03.883000+05:30,2026-06-27 11:56:25.055000+05:30
PUBLIC,T_CUSTOMER_TICKET_AUDIT,6757179,254071296,2025-06-23 15:04:40.488000+05:30,2025-06-23 15:04:47.338000+05:30
DBT,ACCOUNT_WALLET_HISTORY,6749100,368585216,2026-06-13 10:26:57.380000+05:30,2026-06-27 12:40:16.218000+05:30
PUBLIC,T_ADDRESS_PRE_MIGRATION,6563665,303879680,2025-03-26 16:22:03.439000+05:30,2026-03-23 13:49:46.859000+05:30
DYNAMODB,HOME_ROUTER_PLAN_INFO,6405354,473533952,2025-04-07 16:15:30.554000+05:30,2026-06-27 13:23:56.100000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_HOME_ROUTER_TABLE_DE,6404583,451474944,2025-08-29 14:06:50.873000+05:30,2026-06-27 13:00:10.988000+05:30
DBT,HOME_ROUTER_TABLE_DE,6404126,466539520,2026-06-13 10:28:43.468000+05:30,2026-06-27 12:41:42.718000+05:30
PUBLIC,T_ACCOUNT_BALANCE_SHEET1_SQL,5951041,357925376,2025-08-27 17:53:08.629000+05:30,2025-09-01 16:54:45.856000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_HOME_ROUTER_TABLE_DE_PRE_MIGRATION,5884818,404635136,2026-03-23 16:11:36.842000+05:30,2026-03-23 17:00:18.754000+05:30
PUBLIC,CUSTOMER_QUEUE_REPORTING_60DAYS_NEWONE,5530495,136839680,2025-11-23 11:15:16.177000+05:30,2026-06-27 10:33:26.509000+05:30
PUBLIC,CUSTOMER_PROFILE_MODEL,4629581,277336576,2026-06-27 07:10:01.080000+05:30,2026-06-27 07:11:51.648000+05:30
PUBLIC,T_WG_CUSTOMER_AUDIT_DE,4271773,172726784,2025-06-30 20:03:24.834000+05:30,2025-08-06 13:12:11.408000+05:30
DBT,CUSTOMER_PROFILE,4241896,247830016,2026-04-01 13:12:07.699000+05:30,2026-04-01 13:12:58.496000+05:30
PUBLIC,CUSTOMER_PROFILE_MODEL_PRE_MIGRATION,4238340,255792128,2026-03-23 07:10:00.387000+05:30,2026-03-23 15:46:33.387000+05:30
DBT,CUSTOMER_PROFILE_MODEL,4235456,256824832,2026-04-01 13:25:19.383000+05:30,2026-04-01 13:28:10.757000+05:30
PUBLIC,CT_CUSTOMER_PAYG_PAYMENT_EVENTS_MV,3993640,142115328,2026-06-22 20:37:08.278000+05:30,2026-06-27 11:56:27.022000+05:30
DBT,BASE_PLANS,3981177,124394496,2026-06-27 12:40:35.062000+05:30,2026-06-27 12:40:45.062000+05:30
