h3_id,eligible_devices,qualifying_events,events_1_to_3_hours,events_over_3_hours,worst_affected_devices,worst_affected_share,longest_event_minutes,latest_event_start_ist,latest_event_end_ist,severity
893c14004b7ffff,5,2,2,0,4,0.8,80.0,2026-07-06 02:25:00,2026-07-06 03:35:00,1_to_3_hours
893c14004cbffff,11,1,0,1,8,0.7273,185.0,2026-07-25 08:25:00,2026-07-25 11:30:00,over_3_hours
893c1402207ffff,8,1,1,0,6,0.75,150.0,2026-07-18 03:00:00,2026-07-18 05:30:00,1_to_3_hours
893c1402337ffff,6,1,1,0,6,1.0,75.0,2026-07-27 11:50:00,2026-07-27 13:05:00,1_to_3_hours
893c1402a97ffff,5,1,1,0,5,1.0,170.0,2026-07-21 07:55:00,2026-07-21 10:45:00,1_to_3_hours
893c1402e03ffff,5,3,1,2,5,1.0,555.0,2026-07-28 13:45:00,2026-07-28 15:05:00,over_3_hours
893c1402e17ffff,6,3,2,1,6,1.0,350.0,2026-07-28 13:45:00,2026-07-28 15:05:00,over_3_hours
893c1402ebbffff,5,2,1,1,5,1.0,355.0,2026-07-28 13:50:00,2026-07-28 15:05:00,over_3_hours
893c1402ecfffff,5,3,1,2,5,1.0,565.0,2026-07-28 13:50:00,2026-07-28 15:05:00,over_3_hours
893c1403127ffff,17,1,0,1,13,0.7647,185.0,2026-07-25 08:25:00,2026-07-25 11:30:00,over_3_hours
893d123982fffff,5,1,0,1,4,0.8,225.0,2026-07-15 11:25:00,2026-07-15 15:10:00,over_3_hours
893d1239a8fffff,5,3,2,1,4,0.8,295.0,2026-07-28 14:20:00,2026-07-28 16:15:00,over_3_hours
893d1239c03ffff,25,1,1,0,24,0.96,135.0,2026-07-20 09:50:00,2026-07-20 12:05:00,1_to_3_hours
893d1239c07ffff,13,1,1,0,13,1.0,135.0,2026-07-20 09:50:00,2026-07-20 12:05:00,1_to_3_hours
893d1239c0bffff,11,1,1,0,9,0.8182,135.0,2026-07-20 09:50:00,2026-07-20 12:05:00,1_to_3_hours
893d1239c0fffff,27,1,1,0,27,1.0,140.0,2026-07-20 09:45:00,2026-07-20 12:05:00,1_to_3_hours
893d1239c13ffff,10,1,1,0,9,0.9,135.0,2026-07-20 09:50:00,2026-07-20 12:05:00,1_to_3_hours
893d1239c17ffff,23,1,1,0,23,1.0,140.0,2026-07-20 09:45:00,2026-07-20 12:05:00,1_to_3_hours
893d1239c1bffff,8,1,1,0,7,0.875,140.0,2026-07-20 09:45:00,2026-07-20 12:05:00,1_to_3_hours
893d1239c23ffff,23,1,0,1,22,0.9565,365.0,2026-07-20 09:45:00,2026-07-20 15:50:00,over_3_hours
893d1239c27ffff,8,1,0,1,6,0.75,410.0,2026-07-20 09:50:00,2026-07-20 16:40:00,over_3_hours
893d1239c2bffff,9,1,0,1,9,1.0,350.0,2026-07-20 09:45:00,2026-07-20 15:35:00,over_3_hours
893d1239c2fffff,7,3,1,2,6,0.8571,415.0,2026-07-20 09:45:00,2026-07-20 16:40:00,over_3_hours
893d1239c37ffff,9,1,0,1,7,0.7778,290.0,2026-07-20 09:50:00,2026-07-20 14:40:00,over_3_hours
893d1239c3bffff,8,3,1,2,8,1.0,460.0,2026-07-27 15:50:00,2026-07-27 19:05:00,over_3_hours
893d1239c63ffff,5,6,4,2,4,0.8,375.0,2026-07-23 08:35:00,2026-07-23 10:25:00,over_3_hours
893d1239c73ffff,6,1,1,0,5,0.8333,135.0,2026-07-20 09:50:00,2026-07-20 12:05:00,1_to_3_hours
893d1239c77ffff,13,1,0,1,12,0.9231,300.0,2026-07-20 09:45:00,2026-07-20 14:45:00,over_3_hours
893d1239c7bffff,5,2,2,0,4,0.8,125.0,2026-07-23 08:30:00,2026-07-23 10:35:00,1_to_3_hours
893d1239c87ffff,5,1,1,0,4,0.8,135.0,2026-07-20 09:50:00,2026-07-20 12:05:00,1_to_3_hours
893d1239c8bffff,10,1,1,0,10,1.0,140.0,2026-07-20 09:45:00,2026-07-20 12:05:00,1_to_3_hours
893d1239c8fffff,11,1,1,0,10,0.9091,135.0,2026-07-20 09:50:00,2026-07-20 12:05:00,1_to_3_hours
893d1239c97ffff,6,1,1,0,6,1.0,140.0,2026-07-20 09:45:00,2026-07-20 12:05:00,1_to_3_hours
893d1239c9bffff,8,1,1,0,8,1.0,135.0,2026-07-20 09:50:00,2026-07-20 12:05:00,1_to_3_hours
893d1239cabffff,11,1,1,0,10,0.9091,135.0,2026-07-20 09:50:00,2026-07-20 12:05:00,1_to_3_hours
893d1239cb3ffff,8,1,1,0,8,1.0,145.0,2026-07-20 09:45:00,2026-07-20 12:10:00,1_to_3_hours
893d1239cb7ffff,5,1,1,0,4,0.8,135.0,2026-07-20 09:50:00,2026-07-20 12:05:00,1_to_3_hours
893d1239cc7ffff,7,1,1,0,7,1.0,135.0,2026-07-20 09:50:00,2026-07-20 12:05:00,1_to_3_hours
893d1239cd3ffff,8,5,4,1,8,1.0,230.0,2026-07-22 09:00:00,2026-07-22 10:30:00,over_3_hours
893d1239dcbffff,9,1,0,1,8,0.8889,285.0,2026-07-20 09:50:00,2026-07-20 14:35:00,over_3_hours
893d1239dd3ffff,12,1,0,1,11,0.9167,295.0,2026-07-20 09:50:00,2026-07-20 14:45:00,over_3_hours
893d124c4afffff,5,1,1,0,5,1.0,80.0,2026-07-11 00:35:00,2026-07-11 01:55:00,1_to_3_hours
893d1269b0bffff,7,1,1,0,6,0.8571,80.0,2026-07-18 18:05:00,2026-07-18 19:25:00,1_to_3_hours
893d1269b53ffff,7,1,0,1,6,0.8571,420.0,2026-07-05 03:55:00,2026-07-05 10:55:00,over_3_hours
893d1269b57ffff,10,1,1,0,8,0.8,110.0,2026-07-02 12:10:00,2026-07-02 14:00:00,1_to_3_hours
893d126f013ffff,7,3,3,0,6,0.8571,120.0,2026-07-10 10:55:00,2026-07-10 12:30:00,1_to_3_hours
893d126f1a7ffff,6,3,3,0,6,1.0,180.0,2026-07-10 10:55:00,2026-07-10 13:55:00,1_to_3_hours
893d85842cbffff,5,2,2,0,5,1.0,95.0,2026-07-08 06:50:00,2026-07-08 08:10:00,1_to_3_hours
893d8584893ffff,7,1,1,0,5,0.7143,160.0,2026-07-09 03:50:00,2026-07-09 06:30:00,1_to_3_hours
893d8584b43ffff,17,1,1,0,16,0.9412,65.0,2026-07-16 01:40:00,2026-07-16 02:45:00,1_to_3_hours
893d8584b63ffff,5,1,1,0,5,1.0,65.0,2026-07-16 01:40:00,2026-07-16 02:45:00,1_to_3_hours
893d8584b67ffff,9,1,1,0,9,1.0,65.0,2026-07-16 01:40:00,2026-07-16 02:45:00,1_to_3_hours
893d8584b6bffff,12,1,1,0,12,1.0,65.0,2026-07-16 01:40:00,2026-07-16 02:45:00,1_to_3_hours
893d8584b6fffff,22,1,1,0,22,1.0,65.0,2026-07-16 01:40:00,2026-07-16 02:45:00,1_to_3_hours
